"노선_ID","정류장_ID","링크_구간거리(m)","정류장_순서"
"241347006","222001597","366.000","14"
"241347006","222001596","267.000","42"
"241347006","222001568","656.000","12"
"241347006","222001534","400.000","48"
"241347006","222001533","181.000","8"
"241347006","222001522","304.000","3"
"241347006","222001521","340.000","52"
"241347006","222001507","612.000","45"
"241347006","222001506","467.000","11"
"241347006","222001505","403.000","46"
"241347006","222001504","591.000","10"
"241347006","222001503","552.000","47"
"241347006","222001502","318.000","9"
"241347006","222001499","318.000","49"
"241347006","222001498","190.000","7"
"241347006","222001493","210.000","51"
"241347006","222001492","340.000","4"
"241347006","222001488","312.000","53"
"241347006","222001030","280.000","6"
"241347006","221000267","587.000","41"
"241347006","110000652","369.000","39"
"241347006","110000377","524.000","25"
"241347006","110000056","479.000","15"
"241347006","110000055","343.000","16"
"241347006","110000054","367.000","40"
"241347006","110000053","492.000","17"
"241347006","110000051","206.000","18"
"241347006","110000050","531.000","38"
"241347006","110000049","609.000","19"
"241347006","110000048","392.000","37"
"241347006","110000047","316.000","20"
"241347006","110000046","194.000","36"
"241347006","110000045","271.000","21"
"241347006","110000044","413.000","35"
"241347006","110000043","479.000","22"
"241347006","110000042","373.000","34"
"241347006","110000041","294.000","23"
"241347006","110000040","483.000","33"
"241347006","110000039","426.000","24"
"241347006","110000018","326.000","32"
"241347006","110000017","368.000","30"
"241347006","110000014","301.000","31"
"241347006","106000120","390.000","27"
"241347006","106000118","297.000","26"
"241347006","106000010","158.000","28"
"241347006","106000008","306.000","29"
"241347005","222001940","251.000","12"
"241347005","222001939","338.000","54"
"241347005","222001901","191.000","4"
"241347005","222001894","220.000","62"
"241347005","222001856","378.000","61"
"241347005","222001855","216.000","5"
"241347005","222001597","392.000","19"
"241347005","222001596","267.000","47"
"241347005","222001564","414.000","48"
"241347005","222001563","357.000","18"
"241347005","222001546","291.000","55"
"241347005","222001545","471.000","11"
"241347005","222001538","275.000","50"
"241347005","222001537","209.000","16"
"241347005","222001532","173.000","63"
"241347005","222001531","297.000","3"
"241347005","222001530","298.000","53"
"241347005","222001529","277.000","13"
"241347005","222001522","166.000","9"
"241347005","222001521","1096.000","57"
"241347005","222001519","468.000","52"
"241347005","222001518","340.000","14"
"241347005","222001515","224.000","51"
"241347005","222001514","502.000","15"
"241347005","222001511","402.000","49"
"241347005","222001510","311.000","17"
"241347005","222001501","1128.000","10"
"241347005","222001500","497.000","56"
"241347005","222001495","930.000","60"
"241347005","222001494","368.000","6"
"241347005","222001491","910.000","7"
"241347005","222001490","370.000","59"
"241347005","222001484","1035.000","64"
"241347005","222001484","0.000","1"
"241347005","222000676","395.000","8"
"241347005","222000672","160.000","58"
"241347005","222000616","340.000","2"
"241347005","221000267","587.000","46"
"241347005","110000652","369.000","44"
"241347005","110000377","524.000","30"
"241347005","110000056","479.000","20"
"241347005","110000055","343.000","21"
"241347005","110000054","367.000","45"
"241347005","110000053","492.000","22"
"241347005","110000051","206.000","23"
